#,New,Old,Radical,Strokes,Grade,Year added,English meaning,Readings
1,亜,亞,二,7,S,,sub-,アa
2,哀,,口,9,S,,pathetic,"アイ、あわ-れ、あわ-れむai, awa-re, awa-remu"
3,挨,,手,10,S,2010,push open,アイai
4,愛,,心,13,4,,love,アイai
5,曖,,日,17,S,2010,not clear,アイai
6,悪,惡,心,11,3,,bad,"アク、オ、わる-いaku, o, waru-i"
7,握,,手,12,S,,grip,"アク、にぎ-るaku, nigi-ru"
8,圧,壓,土,5,5,,pressure,アツatsu
9,扱,,手,6,S,,handle,あつか-うatsuka-u
10,宛,,宀,8,S,2010,allocate,あ-てるa-teru
11,嵐,,山,12,S,2010,storm,あらしarashi
12,安,,宀,6,3,,cheap,"アン、やす-いan, yasu-i"
13,案,,木,10,4,,plan,アンan
14,暗,,日,13,3,,dark,"アン、くら-いan, kura-i"
15,以,,人,5,4,,by means of,イi
16,衣,,衣,6,4,,clothes,"イ、ころもi, koromo"
17,位,,人,7,4,,rank,"イ、くらいi, kurai"
18,囲,圍,囗,7,4,,surround,"イ、かこ-む、かこ-うi, kako-mu, kako-u"
19,医,醫,酉,7,3,,medicine,イi
20,依,,人,8,S,,reliant,"イ、（エ）i, (e)"
21,委,,女,8,3,,committee,"イ、ゆだ-ねるi, yuda-neru"
22,威,,女,9,S,,intimidate,イi
23,為,爲,爪,9,S,,do,イi
24,畏,,田,9,S,2010,fear,"イ、おそ-れるi, oso-reru"
25,胃,,肉,9,4,,stomach,イi
26,尉,,寸,11,S,,military officer,イi
27,異,,田,11,6,,uncommon,"イ、ことi, koto"
28,移,,禾,11,5,,shift,"イ、うつ-る、うつ-すi, utsu-ru, utsu-su"
29,萎,,艸,11,S,2010,wither,"イ、な-えるi, na-eru"
30,偉,,人,12,S,,admirable,"イ、えら-いi, era-i"
31,椅,,木,12,S,2010,chair,イi
32,彙,,彐,13,S,2010,same kind,イi
33,意,,心,13,3,,idea,イi
34,違,,辵,13,S,,differ,"イ、ちが-う、ちが-えるi, chiga-u, chiga-eru"
35,維,,糸,14,S,,fiber,イi
36,慰,,心,15,S,,consolation,"イ、なぐさ-める、なぐさ-むi, nagusa-meru, nagusa-mu"
37,遺,,辵,15,6,,bequeath,"イ、（ユイ）i, (yui)"
38,緯,,糸,16,S,,horizontal,イi
39,域,,土,11,6,,range,イキiki
40,育,,肉,8,3,,nurture,"イク、そだ-つ、そだ-てる、はぐく-むiku, soda-tsu, soda-teru, haguku-mu"
41,一,,一,1,1,,one,"イチ、イツ、ひと、ひと-つichi, itsu, hito, hito-tsu"
42,壱,壹,士,7,S,,one (falsification prevention),イチichi
43,逸,逸 [4],辵,11,S,,deviate,イツitsu
44,茨 [5],,艸,9,S,2010,thorn,（いばら）[6](ibara)
45,芋,,艸,6,S,,potato,いもimo
46,引,,弓,4,2,,pull,"イン、ひ-く、ひ-けるin, hi-ku, hi-keru"
47,印,,卩,6,4,,mark,"イン、しるしin, shirushi"
48,因,,囗,6,5,,cause,"イン、よ-るin, yo-ru"
49,咽,,口,9,S,2010,throat,インin
50,姻,,女,9,S,,matrimony,インin
51,員,,口,10,3,,member,インin
52,院,,阜,10,3,,institution,インin
53,淫 [7],,水,11,S,2010,lewdness,"イン、みだ-らin, mida-ra"
54,陰,,阜,11,S,,shade,"イン、かげ、かげ-るin, kage, kage-ru"
55,飲,,食,12,3,,drink,"イン、の-むin, no-mu"
56,隠,隱,阜,14,S,,conceal,"イン、かく-す、かく-れるin, kaku-su, kaku-reru"
57,韻,,音,19,S,,rhyme,インin
58,右,,口,5,1,,right (direction),"ウ、ユウ、みぎu, yū, migi"
59,宇,,宀,6,6,,eaves,ウu
60,羽,,羽,6,2,,feather,"ウ、は、はねu, ha, hane"
61,雨,,雨,8,1,,rain,"ウ、あめ、（あま）u, ame, (ama)"
62,唄,,口,10,S,2010,songs with shamisen,（うた）(uta)
63,鬱,,鬯,29,S,2010,gloom,ウツutsu
64,畝,,田,10,S,,furrow,うねune
65,浦,,水,10,S,,bay,うらura
66,運,,辵,12,3,,carry,"ウン、はこ-ぶun, hako-bu"
67,雲,,雨,12,2,,cloud,"ウン、くもun, kumo"
68,永,,水,5,5,,eternity,"エイ、なが-いei, naga-i"
69,泳,,水,8,3,,swim,"エイ、およ-ぐei, oyo-gu"
70,英,,艸,8,4,,England,エイei
71,映,,日,9,6,,reflect,"エイ、うつ-る、うつ-す、は-えるei, utsu-ru, utsu-su, ha-eru"
72,栄,榮,木,9,4,,prosperity,"エイ、さか-える、は-え、は-えるei, saka-eru, ha-e, ha-eru"
73,営,營,火,12,5,,manage,"エイ、いとな-むei, itona-mu"
74,詠,,言,12,S,,recitation,"エイ、よ-むei, yo-mu"
75,影,,彡,15,S,,shadow,"エイ、かげei, kage"
76,鋭,,金,15,S,,pointed,"エイ、するど-いei, surudo-i"
77,衛,衞,行,16,5,,defense,エイei
78,易,,日,8,5,,easy,"エキ、イ、やさ-しいeki, i, yasa-shii"
79,疫,,疒,9,S,,epidemic,"エキ、（ヤク）eki, (yaku)"
80,益,,皿,10,5,,benefit,"エキ、（ヤク）eki, (yaku)"
81,液,,水,11,5,,fluid,エキeki
82,駅,驛,馬,14,3,,station,エキeki
83,悦,,心,10,S,,ecstasy,エツetsu
84,越,,走,12,S,,cross over,"エツ、こ-す、こ-えるetsu, ko-su, ko-eru"
85,謁,謁 [4],言,15,S,,audience,エツetsu
86,閲,,門,15,S,,review,エツetsu
87,円,圓,囗,4,1,,"round, yen","エン、まる-いen, maru-i"
88,延,,廴,8,6,,prolong,"エン、の-びる、の-べる、の-ばすen, no-biru, no-beru, no-basu"
89,沿,,水,8,6,,run alongside,"エン、そ-うen, so-u"
90,炎,,火,8,S,,inflammation,"エン、ほのおen, honoo"
91,怨,,心,9,S,2010,grudge,"エン、オンen, on"
92,宴,,宀,10,S,,banquet,エンen
93,媛,,女,12,S,2010,princess,エンen
94,援,,手,12,S,,aid,エンen
95,園,,囗,13,2,,garden,"エン、そのen, sono"
96,煙,,火,13,S,,smoke,"エン、けむ-る、けむり、けむ-いen, kemu-ru, kemuri, kemu-i"
97,猿,,犬,13,S,1981,monkey,"エン、さるen, saru"
98,遠,,辵,13,2,,far,"エン、（オン）、とお-いen, (on), too-i"
99,鉛,,金,13,S,,lead,"エン、なまりen, namari"
100,塩,鹽,鹵,13,4,,salt,"エン、しおen, shio"
101,演,,水,14,5,,perform,エンen
102,縁,緣,糸,15,S,,affinity,"エン、ふちen, fuchi"
103,艶,艷,色,19,S,2010,glossy,"エン、つやen, tsuya"
104,汚,,水,6,S,,dirty,"オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-いo, kega-su, kega-reru, kega-rawashii, yogo-su, yogo-reru, kitana-i"
105,王,,玉,4,1,,king,オウō
106,凹,,凵,5,S,1981,concave,オウō
107,央,,大,5,3,,center,オウō
108,応,應,心,7,5,,respond,"オウ、こた-えるō, kota-eru"
109,往,,彳,8,5,,outward journey,オウō
110,押,,手,8,S,,push,"オウ、お-す、お-さえるō, o-su, o-saeru"
111,旺,,日,8,S,2010,flourishing,オウō
112,欧,歐,欠,8,S,,Europe,オウō
113,殴,毆,殳,8,S,,assault,"オウ、なぐ-るō, nagu-ru"
114,桜,櫻,木,10,5,,cherry tree,"オウ、さくらō, sakura"
115,翁,,羽,10,S,,venerable old man,オウō
116,奥,奧,大,12,S,,heart,"オウ、おくō, oku"
117,横,橫,木,15,3,,side,"オウ、よこō, yoko"
118,岡,,山,8,S,2010,hill,（おか）[6](oka)
119,屋,,尸,9,3,,roof,"オク、やoku, ya"
120,億,,人,15,4,,hundred million,オクoku
121,憶,,心,16,S,,recollection,オクoku
122,臆,,肉,17,S,2010,timidity,オクoku
123,虞,,虍,13,S,,uneasiness,おそれosore
124,乙,,乙,1,S,,the latter,オツotsu
125,俺,,人,10,S,2010,"I, we",おれore
126,卸,,卩,9,S,,wholesale,"おろ-す、おろしoro-su, oroshi"
127,音,,音,9,1,,sound,"オン、イン、おと、ねon, in, oto, ne"
128,恩,,心,10,5,,grace,オンon
129,温,溫,水,12,3,,warm,"オン、あたた-か、あたた-かい、あたた-まる、あたた-めるon, atata-ka, atata-kai, atata-maru, atata-meru"
130,穏,穩,禾,16,S,,calm,"オン、おだ-やかon, oda-yaka"
131,下,,一,3,1,,below,"カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りるka, ge, shita, shimo, moto, sa-geru, sa-garu, kuda-ru, kuda-su, kuda-saru, o-rosu, o-riru"
132,化,,匕,4,3,,change,"カ、ケ、ば-ける、ば-かすka, ke, ba-keru, ba-kasu"
133,火,,火,4,1,,fire,"カ、ひ、（ほ）ka, hi, (ho)"
134,加,,力,5,4,,add,"カ、くわ-える、くわ-わるka, kuwa-eru, kuwa-waru"
135,可,,口,5,5,,possible,カka
136,仮,假,人,6,5,,temporary,"カ、（ケ）、かりka, (ke), kari"
137,何,,人,7,2,,what,"カ、なに、（なん）ka, nani, (nan)"
138,花,,艸,7,1,,flower,"カ、はなka, hana"
139,佳,,人,8,S,,excellent,カka
140,価,價,人,8,5,,value,"カ、あたいka, atai"
141,果,,木,8,4,,fruit,"カ、は-たす、は-てる、は-てka, ha-tasu, ha-teru, ha-te"
142,河,,水,8,5,,river,"カ、かわka, kawa"
143,苛,,艸,8,S,2010,torment,カka
144,科,,禾,9,2,,section,カka
145,架,,木,9,S,,rack,"カ、か-ける、か-かるka, ka-keru, ka-karu"
146,夏,,夊,10,2,,summer,"カ、（ゲ）、なつka, (ge), natsu"
147,家,,宀,10,2,,house,"カ、ケ、いえ、やka, ke, ie, ya"
148,荷,,艸,10,3,,luggage,"カ、にka, ni"
149,華,,艸,10,S,,splendor,"カ、（ケ）、はなka, (ke), hana"
150,菓,,艸,11,S,,confectionery,カka
151,貨,,貝,11,4,,freight,カka
152,渦,,水,12,S,1981,whirlpool,"カ、うずka, uzu"
153,過,,辵,12,5,,go beyond,"カ、す-ぎる、す-ごす、あやま-つ、あやま-ちka, su-giru, su-gosu, ayama-tsu, ayama-chi"
154,嫁,,女,13,S,,marry into,"カ、よめ、とつ-ぐka, yome, totsu-gu"
155,暇,,日,13,S,,spare time,"カ、ひまka, hima"
156,禍,禍 [4],示,13,S,,calamity,カka
157,靴,,革,13,S,1981,shoes,"カ、くつka, kutsu"
158,寡,,宀,14,S,,widow,カka
159,歌,,欠,14,2,,song,"カ、うた、うた-うka, uta, uta-u"
160,箇,,竹,14,S,,counters for things,カka
161,稼,,禾,15,S,1981,earnings,"カ、かせ-ぐka, kase-gu"
162,課,,言,15,4,,section,カka
163,蚊,,虫,10,S,,mosquito,かka
164,牙 [5],,牙,4,S,2010,tusk,"ガ、（ゲ）、きばga, (ge), kiba"
165,瓦,,瓦,5,S,2010,tile,"ガ、かわらga, kawara"
166,我,,戈,7,6,,ego,"ガ、われ、わga, ware, wa"
167,画,畫,田,8,2,,tableau,"ガ、カクga, kaku"
168,芽,,艸,8,4,,bud,"ガ、めga, me"
169,賀,,貝,12,5,,congratulations,ガga
170,雅,,隹,13,S,,gracious,ガga
171,餓,,食,15,S,,starve,ガga
172,介,,人,4,S,,jammed in,カイkai
173,回,,囗,6,2,,times,"カイ、（エ）、まわ-る、まわ-すkai, (e), mawa-ru, mawa-su"
174,灰,,火,6,6,,ashes,"カイ、はいkai, hai"
175,会,會,曰,6,2,,association,"カイ、エ、あ-うkai, e, a-u"
176,快,,心,7,5,,cheerful,"カイ、こころよ-いkai, kokoroyo-i"
177,戒,,戈,7,S,,commandment,"カイ、いまし-めるkai, imashi-meru"
178,改,,攴,7,4,,reformation,"カイ、あらた-める、あらた-まるkai, arata-meru, arata-maru"
179,怪,,心,8,S,,suspicious,"カイ、あや-しい、あや-しむkai, aya-shii, aya-shimu"
180,拐,,手,8,S,1981,kidnap,カイkai
181,悔,悔 [4],心,9,S,,repent,"カイ、く-いる、く-やむ、くや-しいkai, ku-iru, ku-yamu, kuya-shii"
182,海,海 [4],水,9,2,,sea,"カイ、うみkai, umi"
183,界,,田,9,3,,world,カイkai
184,皆,,白,9,S,,all,"カイ、みなkai, mina"
185,械,,木,11,4,,contraption,カイkai
186,絵,繪,糸,12,2,,picture,"カイ、エkai, e"
187,開,,門,12,3,,open,"カイ、ひら-く、ひら-ける、あ-く、あ-けるkai, hira-ku, hira-keru, a-ku, a-keru"
188,階,,阜,12,3,,floor of a building,カイkai
189,塊,,土,13,S,,clod,"カイ、かたまりkai, katamari"
190,楷,,木,13,S,2010,square character style,カイkai
191,解,,角,13,5,,untie,"カイ、ゲ、と-く、と-かす、と-けるkai, ge, to-ku, to-kasu, to-keru"
192,潰,,水,15,S,2010,crush,"カイ、つぶ-す、つぶ-れるkai, tsubu-su, tsubu-reru"
193,壊,壞,土,16,S,,demolition,"カイ、こわ-す、こわ-れるkai, kowa-su, kowa-reru"
194,懐,懷,心,16,S,,pocket,"カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-けるkai, futokoro, natsu-kashii, natsu-kashimu, natsu-ku, natsu-keru"
195,諧,,言,16,S,2010,harmony,カイkai
196,貝,,貝,7,1,,shellfish,かいkai
197,外,,夕,5,2,,outside,"ガイ、ゲ、そと、ほか、はず-す、はず-れるgai, ge, soto, hoka, hazu-su, hazu-reru"
198,劾,,力,8,S,,censure,ガイgai
199,害,,宀,10,4,,harm,ガイgai
200,崖,,山,11,S,2010,cliff,"ガイ、がけgai, gake"
201,涯,,水,11,S,1981,horizon,ガイgai
202,街,,行,12,4,,street,"ガイ、（カイ）、まちgai, (kai), machi"
203,慨,慨 [4],心,13,S,,rue,ガイgai
204,蓋,,艸,13,S,2010,cover,"ガイ、ふたgai, futa"
205,該,,言,13,S,,above-stated,ガイgai
206,概,槪,木,14,S,,outline,ガイgai
207,骸,,骨,16,S,2010,dead remains,ガイgai
208,垣,,土,9,S,1981,hedge,かきkaki
209,柿,,木,9,S,2010,persimmon,かきkaki
210,各,,口,6,4,,each,"カク、おのおのkaku, onoono"
211,角,,角,7,2,,angle,"カク、かど、つのkaku, kado, tsuno"
212,拡,擴,手,8,6,,broaden,カクkaku
213,革,,革,9,6,,leather,"カク、かわkaku, kawa"
214,格,,木,10,5,,status,"カク、（コウ）kaku, (kō)"
215,核,,木,10,S,,nucleus,カクkaku
216,殻,殼,殳,11,S,1981,husk,"カク、からkaku, kara"
217,郭,,邑,11,S,,enclosure,カクkaku
218,覚,覺,見,12,4,,memorize,"カク、おぼ-える、さ-ます、さ-めるkaku, obo-eru, sa-masu, sa-meru"
219,較,,車,13,S,,contrast,カクkaku
220,隔,,阜,13,S,,isolate,"カク、へだ-てる、へだ-たるkaku, heda-teru, heda-taru"
221,閣,,門,14,6,,tall,カクkaku
222,確,,石,15,5,,certain,"カク、たし-か、たし-かめるkaku, tashi-ka, tashi-kameru"
223,獲,,犬,16,S,,seize,"カク、え-るkaku, e-ru"
224,嚇,,口,17,S,,menacing,カクkaku
225,穫,,禾,18,S,,harvest,カクkaku
226,学,學,子,8,1,,study,"ガク、まな-ぶgaku, mana-bu"
227,岳,嶽,山,8,S,,point,"ガク、たけgaku, take"
228,楽,樂,木,13,2,,pleasure,"ガク、ラク、たの-しい、たの-しむgaku, raku, tano-shii, tano-shimu"
229,額,,頁,18,5,,amount,"ガク、ひたいgaku, hitai"
230,顎,,頁,18,S,2010,jaw,"ガク、あごgaku, ago"
231,掛,,手,11,S,,hang,"か-ける、か-かる、かかりka-keru, ka-karu, kakari"
232,潟,,水,15,S,1981,lagoon,かたkata
233,括,,手,9,S,,fasten,カツkatsu
234,活,,水,9,2,,active,カツkatsu
235,喝,喝 [4],口,11,S,1981,hoarse,カツkatsu
236,渇,渴,水,11,S,,thirst,"カツ、かわ-くkatsu, kawa-ku"
237,割,,刀,12,6,,divide,"カツ、わ-る、わり、わ-れる、さ-くkatsu, wa-ru, wari, wa-reru, sa-ku"
238,葛 [7],,艸,12,S,2010,arrowroot,"カツ、くずkatsu, kuzu"
239,滑,,水,13,S,,slippery,"カツ、コツ、すべ-る、なめ-らかkatsu, kotsu, sube-ru, name-raka"
240,褐,褐 [4],衣,13,S,1981,brown,カツkatsu
241,轄,,車,17,S,,control,カツkatsu
242,且,,一,5,S,,moreover,か-つka-tsu
243,株,,木,10,6,,stocks,かぶkabu
244,釜,,金,10,S,2010,kettle,かまkama
245,鎌,,金,18,S,2010,sickle,かまkama
246,刈,,刀,4,S,,reap,か-るka-ru
247,干,,干,3,6,,dry,"カン、ほ-す、ひ-るkan, ho-su, hi-ru"
248,刊,,刀,5,5,,publish,カンkan
249,甘,,甘,5,S,,sweet,"カン、あま-い、あま-える、あま-やかすkan, ama-i, ama-eru, ama-yakasu"
250,汗,,水,6,S,,sweat,"カン、あせkan, ase"
251,缶,罐,缶,6,S,1981,tin can,カンkan
252,完,,宀,7,4,,perfect,カンkan
253,肝,,肉,7,S,,liver,"カン、きもkan, kimo"
254,官,,宀,8,4,,government official,カンkan
255,冠,,冖,9,S,,crown,"カン、かんむりkan, kanmuri"
256,巻,卷,卩,9,6,,scroll,"カン、ま-く、まきkan, ma-ku, maki"
257,看,,目,9,6,,watch over,カンkan
258,陥,陷,阜,10,S,,collapse,"カン、おちい-る、おとしい-れるkan, ochii-ru, otoshii-reru"
259,乾,,乙,11,S,,dry,"カン、かわ-く、かわ-かすkan, kawa-ku, kawa-kasu"
260,勘,,力,11,S,,intuition,カンkan
261,患,,心,11,S,,afflicted,"カン、わずら-うkan, wazura-u"
262,貫,,貝,11,S,,pierce,"カン、つらぬ-くkan, tsuranu-ku"
263,寒,,宀,12,3,,cold,"カン、さむ-いkan, samu-i"
264,喚,,口,12,S,,yell,カンkan
265,堪,,土,12,S,,withstand,"カン、た-えるkan, ta-eru"
266,換,,手,12,S,,interchange,"カン、か-える、か-わるkan, ka-eru, ka-waru"
267,敢,,攴,12,S,,daring,カンkan
268,棺,,木,12,S,,coffin,カンkan
269,款,,欠,12,S,,goodwill,カンkan
270,間,,門,12,2,,interval,"カン、ケン、あいだ、まkan, ken, aida, ma"
271,閑,,門,12,S,,leisure,カンkan
272,勧,勸,力,13,S,,persuade,"カン、すす-めるkan, susu-meru"
273,寛,寬,宀,13,S,,tolerant,カンkan
274,幹,,干,13,5,,tree-trunk,"カン、みきkan, miki"
275,感,,心,13,3,,feeling,カンkan
276,漢,漢 [4],水,13,3,,China,カンkan
277,慣,,心,14,5,,accustomed,"カン、な-れる、な-らすkan, na-reru, na-rasu"
278,管,,竹,14,4,,pipe,"カン、くだkan, kuda"
279,関,關,門,14,4,,related,"カン、せき、かか-わるkan, seki, kaka-waru"
280,歓,歡,欠,15,S,,delight,カンkan
281,監,,皿,15,S,,oversee,カンkan
282,緩,,糸,15,S,,slacken,"カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-めるkan, yuru-i, yuru-yaka, yuru-mu, yuru-meru"
283,憾,,心,16,S,,remorse,カンkan
284,還,,辵,16,S,,send back,カンkan
285,館,,食,16,3,,public building,"カン、やかたkan, yakata"
286,環,,玉,17,S,,ring,カンkan
287,簡,,竹,18,6,,simplicity,カンkan
288,観,觀,見,18,4,,observe,カンkan
289,韓 [5],,韋,18,S,2010,Korea,カンkan
290,艦,,舟,21,S,,warship,カンkan
291,鑑,,金,23,S,,specimen,"カン、かんが-みるkan, kanga-miru"
292,丸,,丶,3,2,,circle,"ガン、まる、まる-い、まる-めるgan, maru, maru-i, maru-meru"
293,含,,口,7,S,,include,"ガン、ふく-む、ふく-めるgan, fuku-mu, fuku-meru"
294,岸,,山,8,3,,beach,"ガン、きしgan, kishi"
295,岩,,山,8,2,,boulder,"ガン、いわgan, iwa"
296,玩,,玉,8,S,2010,trifle with,ガンgan
297,眼,,目,11,5,,eyeball,"ガン、（ゲン）、まなこgan, (gen), manako"
298,頑,,頁,13,S,1981,stubborn,ガンgan
299,顔,,頁,18,2,,face,"ガン、かおgan, kao"
300,願,,頁,19,4,,request,"ガン、ねが-うgan, nega-u"
301,企,,人,6,S,,plan,"キ、くわだ-てるki, kuwada-teru"
302,伎,,人,6,S,2010,deed,キki
303,危,,卩,6,6,,dangerous,"キ、あぶ-ない、あや-うい、あや-ぶむki, abu-nai, aya-ui, aya-bumu"
304,机,,木,6,6,,desk,"キ、つくえki, tsukue"
305,気,氣,气,6,1,,feeling,"キ、ケki, ke"
306,岐,,山,7,S,,branch off,キki
307,希,,巾,7,4,,hope,キki
308,忌,,心,7,S,,mourning,"キ、い-む、い-まわしいki, i-mu, i-mawashii"
309,汽,,水,7,2,,steam,キki
310,奇,,大,8,S,,strange,キki
311,祈,祈 [4],示,8,S,,pray,"キ、いの-るki, ino-ru"
312,季,,子,8,4,,seasons,キki
313,紀,,糸,9,4,,chronicle,キki
314,軌,,車,9,S,,rut,キki
315,既,既 [4],无,10,S,,previously,"キ、すで-にki, sude-ni"
316,記,,言,10,2,,write down,"キ、しる-すki, shiru-su"
317,起,,走,10,3,,wake up,"キ、お-きる、お-こる、お-こすki, o-kiru, o-koru, o-kosu"
318,飢,,食,10,S,,hungry,"キ、う-えるki, u-eru"
319,鬼,,鬼,10,S,,ghost,"キ、おにki, oni"
320,帰,歸,止,10,2,,return,"キ、かえ-る、かえ-すki, kae-ru, kae-su"
321,基,,土,11,5,,foundation,"キ、もと、もといki, moto, motoi"
322,寄,,宀,11,5,,approach,"キ、よ-る、よ-せるki, yo-ru, yo-seru"
323,規,,見,11,5,,rule,キki
324,亀,龜,龜,11,S,2010,turtle,"キ、かめki, kame"
325,喜,,口,12,4,,rejoice,"キ、よろこ-ぶki, yoroko-bu"
326,幾,,幺,12,S,,how many,"キ、いくki, iku"
327,揮,,手,12,6,,brandish,キki
328,期,,月,12,3,,period of time,"キ、（ゴ）ki, (go)"
329,棋,,木,12,S,,chess piece,キki
330,貴,,貝,12,6,,precious,"キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶki, tatto-i, tōto-i, tatto-bu, tōto-bu"
331,棄,,木,13,S,,abandon,キki
332,毀,,殳,13,S,2010,destroy,キki
333,旗,,方,14,4,,national flag,"キ、はたki, hata"
334,器,器 [4],口,15,4,,container,"キ、うつわki, utsuwa"
335,畿,,田,15,S,2010,capital,キki
336,輝,,車,15,S,,radiance,"キ、かがや-くki, kagaya-ku"
337,機,,木,16,4,,machine,"キ、はたki, hata"
338,騎,,馬,18,S,,equestrian,キki
339,技,,手,7,5,,skill,"ギ、わざgi, waza"
340,宜,,宀,8,S,,best regards,ギgi
341,偽,僞,人,11,S,,falsehood,"ギ、いつわ-る、にせgi, itsuwa-ru, nise"
342,欺,,欠,12,S,,deceit,"ギ、あざむ-くgi, azamu-ku"
343,義,,羊,13,5,,righteousness,ギgi
344,疑,,疋,14,6,,doubt,"ギ、うたが-うgi, utaga-u"
345,儀,,人,15,S,,ceremony,ギgi
346,戯,戲,戈,15,S,,frolic,"ギ、たわむ-れるgi, tawamu-reru"
347,擬,,手,17,S,,mimic,ギgi
348,犠,犧,牛,17,S,,sacrifice,ギgi
349,議,,言,20,4,,deliberation,ギgi
350,菊,,艸,11,S,,chrysanthemum,キクkiku
351,吉,,口,6,S,,good luck,"キチ、キツkichi, kitsu"
352,喫,,口,12,S,,consume,キツkitsu
353,詰,,言,13,S,,packed,"キツ、つ-める、つ-まる、つ-むkitsu, tsu-meru, tsu-maru, tsu-mu"
354,却,,卩,7,S,,instead,キャクkyaku
355,客,,宀,9,3,,guest,"キャク、カクkyaku, kaku"
356,脚,,肉,11,S,,leg,"キャク、（キャ）、あしkyaku, (kya), ashi"
357,逆,,辵,9,5,,inverted,"ギャク、さか、さか-らうgyaku, saka, saka-rau"
358,虐,,虍,9,S,,tyrannize,"ギャク、しいた-げるgyaku, shiita-geru"
359,九,,乙,2,1,,nine,"キュウ、ク、ここの、ここの-つkyū, ku, kokono, kokono-tsu"
360,久,,丿,3,5,,long time,"キュウ、（ク）、ひさ-しいkyū, (ku), hisa-shii"
361,及,,又,3,S,,reach out,"キュウ、およ-ぶ、およ-び、およ-ぼすkyū, oyo-bu, oyo-bi, oyo-bosu"
362,弓,,弓,3,2,,"bow (archery, violin)","キュウ、ゆみkyū, yumi"
363,丘,,一,5,S,,hill,"キュウ、おかkyū, oka"
364,旧,舊,臼,5,5,,old times,キュウkyū
365,休,,人,6,1,,rest,"キュウ、やす-む、やす-まる、やす-めるkyū, yasu-mu, yasu-maru, yasu-meru"
366,吸,,口,6,6,,suck,"キュウ、す-うkyū, su-u"
367,朽,,木,6,S,,decay,"キュウ、く-ちるkyū, ku-chiru"
368,臼,,臼,6,S,2010,mortar,"キュウ、うすkyū, usu"
369,求,,水,7,4,,request,"キュウ、もと-めるkyū, moto-meru"
370,究,,穴,7,3,,research,"キュウ、きわ-めるkyū, kiwa-meru"
371,泣,,水,8,4,,cry,"キュウ、な-くkyū, na-ku"
372,急,,心,9,3,,hurry,"キュウ、いそ-ぐkyū, iso-gu"
373,級,,糸,9,3,,rank,キュウkyū
374,糾,,糸,9,S,,twist,キュウkyū
375,宮,,宀,10,3,,Shinto shrine,"キュウ、グウ、（ク）、みやkyū, gū, (ku), miya"
376,救,,攴,11,4,,salvation,"キュウ、すく-うkyū, suku-u"
377,球,,玉,11,3,,sphere,"キュウ、たまkyū, tama"
378,給,,糸,12,4,,salary,キュウkyū
379,嗅,,口,13,S,2010,smell,"キュウ、か-ぐkyū, ka-gu"
380,窮,,穴,15,S,,hard up,"キュウ、きわ-める、きわ-まるkyū, kiwa-meru, kiwa-maru"
381,牛,,牛,4,2,,cow,"ギュウ、うしgyū, ushi"
382,去,,厶,5,3,,leave,"キョ、コ、さ-るkyo, ko, sa-ru"
383,巨,,工,5,S,,gigantic,キョkyo
384,居,,尸,8,5,,reside,"キョ、い-るkyo, i-ru"
385,拒,,手,8,S,,repel,"キョ、こば-むkyo, koba-mu"
386,拠,據,手,8,S,,foothold,"キョ、コkyo, ko"
387,挙,擧,手,10,4,,raise,"キョ、あ-げる、あ-がるkyo, a-geru, a-garu"
388,虚,虛,虍,11,S,,void,"キョ、（コ）kyo, (ko)"
389,許,,言,11,5,,permit,"キョ、ゆる-すkyo, yuru-su"
390,距,,足,12,S,,long-distance,キョkyo
391,魚,,魚,11,2,,fish,"ギョ、うお、さかなgyo, uo, sakana"
392,御,,彳,12,S,,honorable,"ギョ、ゴ、おんgyo, go, on"
393,漁,,水,14,4,,fishing,"ギョ、リョウgyo, ryō"
394,凶,,凵,4,S,,villain,キョウkyō
395,共,,八,6,4,,together,"キョウ、ともkyō, tomo"
396,叫,,口,6,S,,shout,"キョウ、さけ-ぶkyō, sake-bu"
397,狂,,犬,7,S,,lunatic,"キョウ、くる-う、くる-おしいkyō, kuru-u, kuru-oshii"
398,京,,亠,8,2,,capital,"キョウ、ケイkyō, kei"
399,享,,亠,8,S,,receive,キョウkyō
400,供,,人,8,6,,offer,"キョウ、（ク）、そな-える、ともkyō, (ku), sona-eru, tomo"
401,協,,十,8,4,,cooperation,キョウkyō
402,況,,水,8,S,,condition,キョウkyō
403,峡,峽,山,9,S,,gorge,キョウkyō
404,挟,挾,手,9,S,1981,pinch,"キョウ、はさ-む、はさ-まるkyō, hasa-mu, hasa-maru"
405,狭,狹,犬,9,S,,cramped,"キョウ、せま-い、せば-める、せば-まるkyō, sema-i, seba-meru, seba-maru"
406,恐,,心,10,S,,fear,"キョウ、おそ-れる、おそ-ろしいkyō, oso-reru, oso-roshii"
407,恭,,心,10,S,,respect,"キョウ、うやうや-しいkyō, uyauya-shii"
408,胸,,肉,10,6,,bosom,"キョウ、むね、（むな）kyō, mune, (muna)"
409,脅,,肉,10,S,,threaten,"キョウ、おびや-かす、おど-す、おど-かすkyō, obiya-kasu, odo-su, odo-kasu"
